Image,Description
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/13/PTV09A.JPG,POT 10K OHM 1/20W CARBON LINEAR
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/534/PTV09A-2020U-A102.JPG,POT 10K OHM 1/20W CARBON LINEAR
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/914/PTV09A-4025F-A103.JPG,POT 20K OHM 1/20W CARBON LOG
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/13/PTV09A-2020F.JPG,POT 50K OHM 1/20W CARBON LINEAR
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/957/PTV09A-4020F-B502.JPG,POT 50K OHM 1/20W CARBON LINEAR
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/13/PTV09A-2020F.JPG,POT 1K OHM 1/20W CARBON LINEAR
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4526/MFG_PTV09A-4.jpg,POT 10K OHM 1/20W CARBON LINEAR
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/13/PTV09A-2020F.JPG,POT 10K OHM 1/20W CARBON LINEAR
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4526/MFG_PTV09A-4.jpg,POT 1K OHM 1/20W CARBON LOG
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/13/PTV09A-4015U-B103.JPG,POT 10K OHM 1/20W CARBON LINEAR
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/13/PTV09A-2025F-B103.JPG,POT 10K OHM 1/20W CARBON LINEAR
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/322/PTV09A-4025U-B103.JPG,POT 10K OHM 1/20W CARBON LINEAR
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/657/PTV09A-4020F-A.jpg,POT 10K OHM 1/20W CARBON LOG
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1774/PTV09A-4025F-B102.JPG,POT 50K OHM 1/20W CARBON LINEAR
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/13/PTV09A-4030U.JPG,POT 5K OHM 1/20W CARBON LINEAR
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/914/PTV09A-4025F-A103.JPG,POT 10K OHM 1/20W CARBON LOG
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4841/PTV09A-3020S-B103.jpg,POT 10K OHM 1/20W CARBON LINEAR
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4015/MFG_PT01-D130D-B103.jpg,POT 50K OHM 1/20W CARBON LINEAR
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4015/MFG_PT01-D130D-B103.jpg,POT 50K OHM 1/20W CARBON LINEAR
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4015/MFG_PT01-D130D-B103.jpg,POT 10K OHM 1/20W CARBON LINEAR
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/369/P110KH1-0F15BR10K.JPG,POT 10K OHM 1/20W PLASTIC LINEAR
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/208/09VR1K20F1C103B1.jpg,POT 10K OHM 1/20W CARBON LINEAR
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4840/P160KNP-0EC15A10K.jpg,POT 25K OHM 1/5W PLASTIC LINEAR
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/13/PDB12-H4.JPG,POT 10K OHM 0.08W CARBON LINEAR
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/6537/PDB12-F4251-254BF.jpg,POT 250K OHM 0.08W CARBON LINEAR
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/5522/MFG_PDB12-H2251-102BF.jpg,POT 1K OHM 0.08W CARBON LINEAR
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/5522/MFG_PDB12-H4251-104BF.jpg,POT 100K OHM 0.08W CARBON LINEAR
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/413/PDB12-H4251-xxxBF.JPG,POT 2K OHM 0.08W CARBON LINEAR
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/5531/PDB12-M4251-104BF.JPG,POT 100K OHM 0.08W CARBON LINEAR
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/13/PDB12-M4251-105BF.JPG,POT 1M OHM 0.08W CARBON LINEAR
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/413/PDB12-H4251-xxxBF.JPG,POT 10K OHM 0.08W CARBON LINEAR
