Image,Description
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2997/MP900-8%20SERIES.JPG,RES 100 OHM 1% 15W TO126
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/647/CMF07.jpg,RES 10K OHM 1/4W 0.1% AXIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/852/OY333KE.jpg,RES 33K OHM 10% 2W AXIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1129/OY471KE.jpg,RES 470 OHM 10% 2W AXIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/975/OY222KE.jpg,RES 2.2K OHM 10% 2W AXIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/639/PTF-SERIES.jpg,RES 10K OHM 1/8W 0.1% AXIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2472/13FR%20SERIES%203W.jpg,RES 0.15 OHM 1% 3W AXIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/923/OY101KE.jpg,RES 100 OHM 10% 2W AXIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/12/12FR010E.JPG,RES 0.01 OHM 1% 2W AXIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2582/SLIM-MOX102%20SERIES.jpg,RES 100M OHM 1% 1W RADIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2523/35J%20SERIES%205W.jpg,RES 1.5 OHM 5% 5W AXIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2594/Vishay%20CW005%206.5W.jpg,RES 1K OHM 13W 5% AXIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2582/SLIM-MOX102%20SERIES.jpg,RES 1 GOHM 1% 1W RADIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/637/RS01AR3300FE70.JPG,RES 10 OHM 5W 1% WW AXIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2472/13FR%20SERIES%203W.jpg,RES 0.02 OHM 1% 3W AXIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2472/13FR%20SERIES%203W.jpg,RES 0.05 OHM 1% 3W AXIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2516/12FR%20SERIES%202W.jpg,RES 0.05 OHM 1% 2W AXIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2472/13FR%20SERIES%203W.jpg,RES 0.015 OHM 1% 3W AXIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2499/15FR%20SERIES%205W.jpg,RES 0.2 OHM 1% 5W AXIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2582/SLIM-MOX102%20SERIES.jpg,RES 20M OHM 1% 1W RADIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2582/SLIM-MOX102%20SERIES.jpg,RES 5M OHM 1% 1W RADIAL
https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2582/SLIM-MOX102%20SERIES.jpg,RES 200M OHM 1% 1W RADIAL
